studyID:sampleId	Altered	MAML2	FAT2	TP53	SPTBN1	FAM193A	NOTCH1	SYNE1	ODF1	NRG3	DCHS1	FAT1	KMT2C	KMT2B	CSMD1	BRCA2
vsc_cuk_2018:VSCC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vsc_cuk_2018:VSCC2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
vsc_cuk_2018:VSCC3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
vsc_cuk_2018:VSCC4	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
vsc_cuk_2018:VSCC5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
vsc_cuk_2018:VSCC6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vsc_cuk_2018:VSCC7	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0
vsc_cuk_2018:VSCC8	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0
vsc_cuk_2018:VSCC9	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0
vsc_cuk_2018:VSCC10	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0
vsc_cuk_2018:VSCC11	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
vsc_cuk_2018:VSCC12	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1
vsc_cuk_2018:VSCC13	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0
vsc_cuk_2018:VSCC14	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0
vsc_cuk_2018:VSCC15	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0
