Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		1	1	15	6.7%	No
RBMXL3		1	1	15	6.7%	No
BOC		1	1	15	6.7%	No
ASPM		1	1	15	6.7%	No
FOXD2		1	1	15	6.7%	No
KHDRBS3		1	1	15	6.7%	No
FOXE1		1	1	15	6.7%	No
OR10AD1		1	1	15	6.7%	No
GNB2		1	1	15	6.7%	No
OR6C6		1	1	15	6.7%	No
ZNF326		1	1	15	6.7%	No
INPP5D		1	1	15	6.7%	Yes
KCNH8		2	1	15	6.7%	No
INPPL1		1	1	15	6.7%	Yes
PSORS1C2		1	1	15	6.7%	No
VANGL1		1	1	15	6.7%	No
KRTAP10-10		2	2	15	13.3%	No
FLG		1	1	15	6.7%	No
B4GALNT3		1	1	15	6.7%	No
TRIM73		1	1	15	6.7%	No
FLOT2		1	1	15	6.7%	No
ABCD3		1	1	15	6.7%	No
CACNG4		1	1	15	6.7%	No
TRPM6		1	1	15	6.7%	No
ABCD4		1	1	15	6.7%	No
ALDH1L2		1	1	15	6.7%	No
ODF3L1		1	1	15	6.7%	No
CDH2		1	1	15	6.7%	No
FMOD		1	1	15	6.7%	No
NKX2-5		1	1	15	6.7%	No
NFATC2IP		1	1	15	6.7%	No
TMEM132D		1	1	15	6.7%	No
OPRL1		1	1	15	6.7%	No
MMP27		1	1	15	6.7%	No
CDH12		1	1	15	6.7%	No
OTUD5		1	1	15	6.7%	No
MED25		1	1	15	6.7%	No
CDH10		1	1	15	6.7%	No
SLC6A15		1	1	15	6.7%	No
RNPC3		1	1	15	6.7%	No
ADAMTS16		1	1	15	6.7%	No
PRPF38B		1	1	15	6.7%	No
IGF2BP3		1	1	15	6.7%	No
FMR1NB		1	1	15	6.7%	No
LONRF1		1	1	15	6.7%	No
ITGAE		2	2	15	13.3%	No
PPP1R15B		1	1	15	6.7%	No
NLRP3		2	2	15	13.3%	No
ATP13A3		1	1	15	6.7%	No
CDH18		1	1	15	6.7%	No
C19ORF47		1	1	15	6.7%	No
CDH15		1	1	15	6.7%	No
VPS13B		1	1	15	6.7%	No
CCDC107		1	1	15	6.7%	No
ITGA4		1	1	15	6.7%	No
CDH23		2	2	15	13.3%	No
FRYL		2	1	15	6.7%	No
TMEM52		1	1	15	6.7%	No
WRAP53		2	2	15	13.3%	No
CDKN2A		1	1	15	6.7%	Yes
POLR3C		1	1	15	6.7%	No
LARP1B		1	1	15	6.7%	No
CDK8		1	1	15	6.7%	Yes
FIGN		1	1	15	6.7%	No
SPTBN1		5	5	15	33.3%	No
SPTB		2	2	15	13.3%	No
MTM1		1	1	15	6.7%	No
EPB41L4A		1	1	15	6.7%	No
MTRR		1	1	15	6.7%	No
SRP68		1	1	15	6.7%	No
C18ORF21		1	1	15	6.7%	No
KAT14		1	1	15	6.7%	No
LRRC8D		1	1	15	6.7%	No
CDR1		1	1	15	6.7%	No
NXNL1		1	1	15	6.7%	No
SRF		1	1	15	6.7%	No
NAALADL2		1	1	15	6.7%	No
ITIH2		1	1	15	6.7%	No
ITIH3		2	2	15	13.3%	No
MORN3		1	1	15	6.7%	No
RAD52		1	1	15	6.7%	Yes
RAF1		1	1	15	6.7%	Yes
FAM149B1		1	1	15	6.7%	No
CEBPB		1	1	15	6.7%	No
SPAG16		1	1	15	6.7%	No
SLC52A2		1	1	15	6.7%	No
CHPF		1	1	15	6.7%	No
CLGN		1	1	15	6.7%	No
TBL3		1	1	15	6.7%	No
CACNA1G		2	2	15	13.3%	No
TDRP		1	1	15	6.7%	No
PNLIPRP2		2	2	15	13.3%	No
NOM1		1	1	15	6.7%	No
BROX		1	1	15	6.7%	No
SYNPO2L		1	1	15	6.7%	No
KIAA1671		1	1	15	6.7%	No
ITPRID2		2	2	15	13.3%	No
NSFL1C		1	1	15	6.7%	No
SAR1B		1	1	15	6.7%	No
PTCHD1		1	1	15	6.7%	No
ABCC4		1	1	15	6.7%	No
CNKSR1		1	1	15	6.7%	No
HERC1		1	1	15	6.7%	No
POLR2A		1	1	15	6.7%	No
ZNF519		1	1	15	6.7%	No
MUC4		2	2	15	13.3%	No
TOP3B		1	1	15	6.7%	No
EGLN2		1	1	15	6.7%	No
ZFP90		1	1	15	6.7%	No
RTL1		1	1	15	6.7%	No
POLB		2	1	15	6.7%	No
OBSCN		2	2	15	13.3%	No
PABPC5		1	1	15	6.7%	No
BMI1		1	1	15	6.7%	No
ZC3HAV1		1	1	15	6.7%	No
BMP1		1	1	15	6.7%	No
POLE		1	1	15	6.7%	Yes
BAIAP3		2	1	15	6.7%	No
POLG		1	1	15	6.7%	Yes
